Date;Surplus;ConsumedHT;ConsumedLT;Produced;
2020-01-01;0.22;5.67;0.00;2.51;
2020-01-02;0.29;9.39;0.00;2.75;
2020-01-03;0.00;20.33;0.00;1.42;
2020-01-04;0.07;19.19;0.00;2.19;
2020-01-05;0.22;13.57;0.00;3.63;
2020-01-06;0.16;15.84;0.00;3.24;
2020-01-07;0.26;16.77;0.00;4.26;
2020-01-08;0.19;12.07;0.00;1.46;
2020-01-09;0.02;14.49;0.00;1.21;
2020-01-10;0.24;13.65;0.00;3.83;
2020-01-11;0.04;16.67;0.00;2.45;
2020-01-12;0.13;17.02;0.00;2.91;
2020-01-13;0.31;11.97;0.00;2.93;
2020-01-14;0.00;22.87;0.00;0.76;
2020-01-15;0.24;12.35;0.00;5.16;
2020-01-16;0.10;15.64;0.00;2.33;
2020-01-17;0.22;18.95;0.00;3.23;
2020-01-18;0.05;21.97;0.00;1.53;
2020-01-19;0.06;19.28;0.00;1.36;
2020-01-20;0.36;11.93;0.00;4.02;
2020-01-21;0.36;16.95;0.00;4.71;
2020-01-22;0.25;8.40;0.00;1.68;
2020-01-23;0.38;12.56;0.00;5.12;
2020-01-24;0.26;12.37;0.00;7.17;
2020-01-25;0.00;23.21;0.00;1.35;
2020-01-26;0.02;18.49;0.00;1.36;
2020-01-27;0.15;21.22;0.00;2.24;
2020-01-28;0.02;15.66;0.00;0.91;
2020-01-29;0.09;20.62;0.00;2.18;
2020-01-30;0.33;12.76;0.00;3.85;
2020-01-31;0.01;17.47;0.00;1.37;
2020-02-01;0.41;11.24;0.00;4.19;
2020-02-02;0.26;15.96;0.00;5.53;
2020-02-03;0.15;11.66;0.00;2.55;
2020-02-04;0.02;17.01;0.00;1.89;
2020-02-05;0.28;16.39;0.00;4.57;
2020-02-06;0.17;11.95;0.00;3.77;
2020-02-07;0.23;17.04;0.00;4.60;
2020-02-08;0.49;11.16;0.00;10.01;
2020-02-09;0.44;9.29;0.00;9.11;
2020-02-10;0.05;24.28;0.00;3.25;
2020-02-11;0.30;16.56;0.00;5.71;
2020-02-12;0.44;13.93;0.00;7.82;
2020-02-13;0.43;15.00;0.00;9.82;
2020-02-14;0.22;12.28;0.00;4.18;
2020-02-15;0.65;11.78;0.00;11.85;
2020-02-16;3.92;7.53;0.00;9.56;
2020-02-17;3.49;15.14;0.00;10.68;
2020-02-18;2.06;15.86;0.00;6.60;
2020-02-19;3.01;8.00;0.00;9.00;
2020-02-19;3.01;8.00;0.00;9.00;
2020-02-20;4.88;7.82;0.00;8.90;
2020-02-21;0.66;19.24;0.00;3.49;
2020-02-22;3.51;10.20;0.00;8.76;
2020-02-23;0.15;11.50;0.00;1.47;
2020-02-24;3.04;17.61;0.00;8.26;
2020-02-25;3.01;7.57;0.00;7.51;
2020-02-26;0.05;10.76;0.00;3.16;
2020-02-27;3.53;10.01;0.00;6.75;
2020-02-28;4.06;10.16;0.00;11.14;
2020-02-29;2.99;15.95;0.00;7.23;
2020-03-01;0.45;19.00;0.00;3.15;
2020-03-02;3.16;12.95;0.00;9.07;
2020-03-03;0.00;15.33;0.00;1.58;
2020-03-04;1.43;8.09;0.00;4.64;
2020-03-05;3.55;22.08;0.00;12.37;
2020-03-06;0.01;15.26;0.00;1.83;
2020-03-07;0.94;22.75;0.00;3.89;
2020-03-08;3.22;12.56;0.00;7.56;
2020-03-09;3.90;20.24;0.00;11.57;
2020-03-10;7.01;12.04;0.00;12.61;
2020-03-11;0.74;18.43;0.00;4.76;
2020-03-12;4.28;19.32;0.00;11.14;
2020-03-13;4.97;12.00;0.00;11.03;
2020-03-14;6.75;22.43;0.00;16.77;
2020-03-15;9.63;13.26;0.00;19.74;
2020-03-16;9.86;11.95;0.00;18.14;
2020-03-17;6.10;13.26;0.00;17.05;
2020-03-18;8.08;8.54;0.00;18.22;
2020-03-19;8.03;14.06;0.00;18.43;
2020-03-20;6.49;15.65;0.00;13.09;
2020-03-21;0.91;18.93;0.00;4.74;
2020-03-22;7.47;14.68;0.00;14.51;
2020-03-23;10.05;11.01;0.00;19.13;
2020-03-24;12.07;16.06;0.00;21.82;
2020-03-25;5.73;17.93;0.00;16.99;
2020-03-26;5.79;14.45;0.00;13.51;
2020-03-27;6.96;11.15;0.00;18.72;
2020-03-28;9.83;16.61;0.00;19.28;
2020-03-29;11.67;15.40;0.00;18.03;
2020-03-30;5.54;14.85;0.00;16.88;
2020-03-31;9.10;12.96;0.00;17.94;
2020-04-01;13.69;9.00;0.00;21.66;
2020-04-02;12.96;8.71;0.00;22.43;
2020-04-03;8.54;14.18;0.00;17.96;
2020-04-04;10.03;14.06;0.00;20.90;
2020-04-05;11.49;8.64;0.00;21.94;
2020-04-06;9.55;13.43;0.00;21.70;
2020-04-07;15.78;9.39;0.00;22.85;
2020-04-08;10.64;8.31;0.00;22.30;
2020-04-09;10.25;8.04;0.00;22.21;
2020-04-10;8.10;12.04;0.00;21.03;
2020-04-11;7.12;12.63;0.00;22.70;
2020-04-12;12.25;11.62;0.00;22.20;
2020-04-13;6.02;15.28;0.00;13.96;
2020-04-14;5.86;11.01;0.00;16.63;
2020-04-15;10.02;9.86;0.00;21.37;
2020-04-16;11.84;6.53;0.00;23.91;
2020-04-17;3.69;10.60;0.00;22.91;
2020-04-18;4.58;8.33;0.00;22.46;
2020-04-19;0.57;15.71;0.00;6.98;
2020-04-20;4.23;9.77;0.00;25.64;
2020-04-21;10.35;9.03;0.00;25.42;
2020-04-22;4.81;11.14;0.00;25.32;
2020-04-23;5.47;13.29;0.00;24.30;
2020-04-24;7.04;8.95;0.00;22.61;
2020-04-25;2.44;8.90;0.00;17.37;
2020-04-26;3.54;8.36;0.00;18.94;
2020-04-27;5.72;11.53;0.00;23.37;
2020-04-28;5.98;8.44;0.00;21.05;
2020-04-29;0.94;9.36;0.00;9.67;
2020-04-30;1.68;10.08;0.00;22.74;
2020-05-01;0.50;13.02;0.00;11.51;
2020-05-02;3.76;14.29;0.00;18.00;
2020-05-03;1.36;14.16;0.00;14.34;
2020-05-04;3.17;14.44;0.00;18.16;
2020-05-05;1.86;10.52;0.00;19.79;
2020-05-06;0.77;13.98;0.00;10.49;
2020-05-07;9.73;7.14;0.00;26.32;
2020-05-08;5.95;12.65;0.00;24.76;
2020-05-09;4.93;4.66;0.00;24.84;
2020-05-10;2.14;9.48;0.00;16.84;
2020-05-11;0.93;14.83;0.00;16.16;
2020-05-12;2.26;7.94;0.00;19.03;
2020-05-13;0.48;23.34;0.00;8.23;
2020-05-14;0.75;12.00;0.00;8.25;
2020-05-15;0.41;13.59;0.00;5.28;
2020-05-16;1.27;11.19;0.00;21.33;
2020-05-17;3.94;5.01;0.00;19.61;
2020-05-18;9.02;7.48;0.00;25.98;
2020-05-19;7.42;10.92;0.00;23.97;
2020-05-20;7.30;7.72;0.00;27.30;
2020-05-21;2.63;8.90;0.00;21.81;
2020-05-22;19.28;1.64;0.00;27.49;
2020-05-23;1.11;1.89;0.00;6.93;
2020-05-24;11.73;1.86;0.00;19.53;
2020-05-25;8.39;2.52;0.00;15.44;
2020-05-26;8.49;3.78;0.00;15.27;
2020-05-27;6.39;13.80;0.00;22.88;
2020-05-28;0.72;14.29;0.00;14.27;
2020-05-29;1.53;5.65;0.00;16.45;
2020-05-30;1.25;8.57;0.00;16.17;
2020-05-31;0.40;13.27;0.00;4.80;
2020-06-01;5.12;8.65;0.00;24.34;
2020-06-02;6.80;8.58;0.00;21.08;
2020-06-03;5.74;7.01;0.00;19.60;
2020-06-04;4.19;10.45;0.00;20.62;
2020-06-05;0.39;11.79;0.00;4.58;
2020-06-06;5.93;6.74;0.00;23.84;
2020-06-07;1.80;10.82;0.00;20.54;
2020-06-08;0.74;10.24;0.00;6.49;
2020-06-09;1.79;14.65;0.00;17.25;
2020-06-10;0.67;13.39;0.00;8.82;
2020-06-11;1.26;8.55;0.00;18.38;
2020-06-12;1.32;7.18;0.00;19.13;
2020-06-13;10.44;4.62;0.00;19.39;
2020-06-14;2.53;11.11;0.00;21.75;
2020-06-15;11.55;7.26;0.00;28.05;
2020-06-16;0.84;11.18;0.00;11.30;
2020-06-17;1.41;11.52;0.00;15.21;
2020-06-18;0.80;8.66;0.00;8.23;
2020-06-19;0.37;19.87;0.00;6.05;
2020-06-20;0.36;5.84;0.00;3.50;
2020-06-21;0.77;12.57;0.00;9.87;
2020-06-22;0.63;11.27;0.00;7.56;
2020-06-23;8.07;9.19;0.00;24.22;
2020-06-24;8.51;10.39;0.00;24.07;
2020-06-25;10.45;5.18;0.00;24.05;
2020-06-26;2.97;8.68;0.00;13.05;
2020-06-27;1.00;12.71;0.00;17.03;
2020-06-28;3.56;7.25;0.00;23.68;
2020-06-29;0.61;13.49;0.00;8.49;
2020-06-30;9.06;12.19;0.00;23.43;
2020-07-01;6.14;8.77;0.00;24.76;
2020-07-02;1.60;9.08;0.00;21.63;
2020-07-03;1.09;10.19;0.00;11.37;
2020-07-04;6.87;5.95;0.00;25.27;
2020-07-05;5.73;5.35;0.00;26.09;
2020-07-06;2.52;14.00;0.00;22.08;
2020-07-07;3.17;9.06;0.00;18.22;
2020-07-08;4.66;11.26;0.00;16.77;
2020-07-09;3.08;6.97;0.00;19.02;
2020-07-10;9.87;4.94;0.00;25.61;
2020-07-11;0.47;19.57;0.00;8.20;
2020-07-12;8.84;6.37;0.00;21.57;
2020-07-13;0.94;13.17;0.00;15.33;
2020-07-14;8.36;7.20;0.00;24.00;
2020-07-15;5.93;7.86;0.00;24.04;
2020-07-16;3.06;5.67;0.00;14.99;
2020-07-17;6.46;9.62;0.00;20.68;
2020-07-18;0.38;14.22;0.00;5.88;
2020-07-19;0.80;13.91;0.00;12.57;
